number,value,params_dropout,params_learning_rate,params_num_layer,params_optimizer,state,train_loss,valid_loss,spearman_train,spearman_val,pearson_train,pearson_val
11,0.2852423847652972,0.33096946765983193,3.7210974685600714e-05,0,RMSprop,COMPLETE,"[0.6880345909501151, 0.2205477609908838, 0.12078576116896361, 0.07549456925727695, 0.06037667916967071]","[0.2878182763233781, 0.3222396681085229, 0.3316919580101967, 0.3136309515684843, 0.2852423847652972]","[0.6069108001088525, 0.8396254844553495, 0.9110302480286759, 0.9472965841844434, 0.9593354179072088]","[0.8186495385721984, 0.8115442682456407, 0.801793994126619, 0.8091615224228296, 0.8214478974401601]","[0.6356495080993763, 0.8896050449163155, 0.9411239671785975, 0.9635805779739292, 0.9709708894279188]","[0.860121186727717, 0.8689629073990599, 0.862331103779192, 0.8640037166112873, 0.8724868641454672]"
10,0.28586752247065306,0.6987579300011573,1.2322442083239894e-05,0,RMSprop,COMPLETE,"[0.6110581991483839, 0.22546917795062923, 0.13563354892267598, 0.08498674891755092, 0.06464313361257744]","[0.28586752247065306, 0.3062521880492568, 0.599934421479702, 0.4510494749993086, 0.41641542315483093]","[0.6231068414818336, 0.8226667708797022, 0.8935374895831897, 0.9383687400329312, 0.955175576009191]","[0.8069279240636963, 0.8169475348404913, 0.8024210272903781, 0.8092186469409458, 0.811910181970004]","[0.6759779673609545, 0.886645058145779, 0.9333318490596425, 0.9587842419479712, 0.96902398536567]","[0.8582818764817297, 0.8700178888763975, 0.8613740338781652, 0.8669725394014112, 0.8675345470106083]"
9,0.2984557752497494,0.4284240012789756,2.8948558671291965e-05,3,Adam,COMPLETE,"[1.3444018451858768, 0.3286505298112794, 0.22513091628500026, 0.12701446470543207, 0.1080088020041049]","[0.35078894533216953, 0.3181965993717313, 0.41076235566288233, 0.2984557752497494, 0.33763065841048956]","[0.4106808401368947, 0.7566733554966599, 0.8419953546970911, 0.9159216323587874, 0.9319304164651256]","[0.7863249815289037, 0.8111635536279356, 0.8188922930235345, 0.814899665417209, 0.8064173674953682]","[0.4196295490478063, 0.8349542726591527, 0.8898340697589987, 0.9393703949952008, 0.9480318283175645]","[0.8362953324997853, 0.8579620895967122, 0.8630583341164775, 0.865515909303941, 0.8455388246695734]"
17,0.2988689709454775,0.33117802072908453,1.5336265809269994e-05,0,RMSprop,COMPLETE,"[0.6792478020028244, 0.2170787684673028, 0.12944395533300562, 0.08557449468820215, 0.0587811915123527]","[0.30382230691611767, 0.49579139798879623, 0.46169031225144863, 0.2988689709454775, 0.36649582255631685]","[0.594137141810352, 0.830545667248529, 0.8996026419552825, 0.9378592674317495, 0.9575913263237618]","[0.8143765355147374, 0.8243260524287488, 0.8255198756552727, 0.8194628451862794, 0.82835456848883]","[0.6372203625577083, 0.8909072255478551, 0.9365611252667067, 0.9586862944593805, 0.9717777418480832]","[0.8659265707942341, 0.876221560020969, 0.8764052896156144, 0.8726325356712855, 0.8778344263490769]"
0,0.3092326456680894,0.056670385345278934,5.854008313516388e-05,1,Adam,COMPLETE,"[0.7626049104783175, 0.28746947335253514, 0.18795886306132345, 0.14871790806809776, 0.11462211370360938]","[0.33981288876384497, 0.3092326456680894, 0.3341213380917907, 0.35384191758930683, 0.3171516638249159]","[0.5616930549271434, 0.7823417741127118, 0.8617312129932083, 0.8975093250339917, 0.922786033896844]","[0.8157275749193699, 0.8028667866366835, 0.8036518775009152, 0.8125823603335223, 0.8193565163605309]","[0.6007935318552717, 0.8536080842523718, 0.9070107466909769, 0.9273828660164716, 0.9445475083891914]","[0.8532483358530399, 0.8548389378772564, 0.8454134821083502, 0.862118679707561, 0.8683672277768413]"
2,0.3135080048814416,0.5155832227139833,3.351694937068664e-05,1,RMSprop,COMPLETE,"[0.9162262247191916, 0.29142799416034343, 0.16956166204788703, 0.11983713271806566, 0.08318249669542416]","[0.34272565227001905, 0.5351327080279589, 0.48941588774323463, 0.39521096646785736, 0.3135080048814416]","[0.4589187560676564, 0.7802813353865996, 0.8743786746640826, 0.9148666374708049, 0.9436229542271385]","[0.7937555745010936, 0.8063474716378464, 0.8079249795610072, 0.8116656454713089, 0.8018488415842209]","[0.5079886617496967, 0.8529322241279452, 0.9169400595704889, 0.9420209291131748, 0.9600908634460971]","[0.8289602591941037, 0.8521156362238911, 0.8544817390518561, 0.8576135172626872, 0.8580368205366447]"
26,0.3253776691854,0.3764256718644101,1.8769393660718067e-05,0,RMSprop,COMPLETE,"[0.7207427400050403, 0.22747840598332797, 0.12676451213175444, 0.08252294640318095, 0.05324551988419869]","[0.3253776691854, 0.5522865206003189, 0.4753870517015457, 0.444531774148345, 0.4031289843842387]","[0.5610792065378037, 0.8202060780698243, 0.9029573749289324, 0.9403957882534081, 0.9630698914614659]","[0.8017902815279545, 0.8102893108944428, 0.8138912246173271, 0.813417695033012, 0.8199365232745413]","[0.6144226351613169, 0.8854554679940113, 0.9379306002766444, 0.960129400680017, 0.9744842939185542]","[0.8529090037637213, 0.863835339346654, 0.8688004968049445, 0.8702787441785252, 0.8735042936077606]"
3,1.1421520747244358,0.19069427799404598,5.944117177565686e-05,3,RMSprop,COMPLETE,"[1.6645315079380283, 1.1433064148580427, 1.1447197674847336, 0.9831080799051326, 0.948119464323675]","[1.2276265304535627, 1.3461141157895327, 1.1509390734136105, 1.1464774683117867, 1.1421520747244358]","[-0.010744345008157317, 0.10988088713438597, 0.20572246632277788, 0.2697282553615656, 0.3159006943015719]","[0.02163706796315177, 0.6073526782392237, 0.5482460893323334, 0.3972304676632929, 0.4383409394509425]","[-0.008232886703028833, 0.09751456861444359, 0.15798854556142164, 0.2863465282293494, 0.3397140223590786]","[0.05646328427611235, 0.630636313823493, 0.5431009551752405, 0.5052399723244125, 0.477041811135706]"
25,10.503153055906296,0.44455460734629004,3.8404150714746564e-05,0,SGD,COMPLETE,"[12.034404843831235, 11.666435056453128, 11.303032559456586, 10.943996491192056, 10.589162922591614]","[12.006976276636124, 11.624126061797142, 11.245991885662079, 10.872379004955292, 10.503153055906296]","[0.013146628244584287, 0.017328189210853384, 0.021454262330120037, 0.02547302622923468, 0.029464362532382694]","[0.05989787881983832, 0.0638737254802008, 0.06744737395192009, 0.07161761227835048, 0.07517537082778614]","[-0.004302234919771224, -0.0007272289833328534, 0.0028723450805706605, 0.006469524994510782, 0.010037876947868693]","[0.04695225002574731, 0.05093487572744141, 0.05478969356541368, 0.05849732752738349, 0.062021930027326214]"
4,10.702848181128502,0.1886878233054497,9.870795056909314e-05,2,SGD,COMPLETE,"[12.89766302040155, 12.39193975325111, 11.894297551765716, 11.401243504860417, 10.909911258615178]","[12.755556151270866, 12.235420927405357, 11.722166910767555, 11.21222473680973, 10.702848181128502]","[0.007099858976870749, 0.014235132818506784, 0.0204300171041659, 0.02549004429623847, 0.028974971593394766]","[-0.04061389883721785, -0.023059890829576195, -0.007764429844092689, 0.003209071282875309, 0.01184348674732546]","[-0.0036179668846587462, 0.0024566488170661895, 0.007877907078951082, 0.012354702335315848, 0.01558347618220092]","[-0.06836062071894052, -0.05492469136533922, -0.04305434008603598, -0.03294961648678118, -0.02465018918997153]"
29,11.782268702983856,0.37585747726213736,3.238480346711476e-05,1,SGD,COMPLETE,"[12.765754692846064, 12.531318547914355, 12.298121863989522, 12.066018475045404, 11.834867621497285]","[12.750276356935501, 12.506530165672302, 12.264013290405273, 12.022630706429482, 11.782268702983856]","[-0.0005957438695546111, 0.001178985944840777, 0.003008123289449914, 0.004797725747135571, 0.006581163372673988]","[0.045561010809502596, 0.051353407245697674, 0.05746805724596257, 0.06265871569063187, 0.06662391956815641]","[0.007325391133309187, 0.008568335962228254, 0.009765058258693029, 0.010921350159889334, 0.012073975878846002]","[0.06282532507129411, 0.06538097723556878, 0.06752073730257144, 0.06948411633771874, 0.07136143131550456]"
18,11.886580184102058,0.1356518007459182,1.0380520764550495e-05,0,SGD,COMPLETE,"[12.170422794149934, 12.072917567740241, 11.975744919811222, 11.878901303243294, 11.782382031996473]","[12.292437210679054, 12.190451294183731, 12.088815689086914, 11.987527295947075, 11.886580184102058]","[0.01066220316464483, 0.011699632944630558, 0.012736262467027035, 0.013835274574549205, 0.014809356622202865]","[0.056548223800871114, 0.05832264795719166, 0.05913214296997718, 0.05979531209406986, 0.06098611574034691]","[-0.007368664734269726, -0.006457098793976463, -0.005541615985264551, -0.004622659619795581, -0.0037010115060473687]","[0.04390711898175279, 0.044946792281677084, 0.0459802586475245, 0.04700663817536267, 0.048025527286111536]"
7,12.35640798509121,0.030738811183957923,1.6882564221765563e-05,1,SGD,COMPLETE,"[12.811132794661487, 12.688002394257689, 12.565235419239071, 12.442809585187074, 12.320703485886828]","[12.866828739643097, 12.738673225045204, 12.610903263092041, 12.483488246798515, 12.35640798509121]","[0.016739430195025634, 0.01827183459906128, 0.019885609964140568, 0.02133349000788765, 0.022689488882918163]","[0.04324286420345196, 0.045725998694148486, 0.04866499079951766, 0.051615764217981856, 0.05542360341345141]","[0.03941851887763554, 0.04059884276527501, 0.041742517223350914, 0.042845815992583705, 0.04390662919473078]","[0.061430372702395375, 0.06292203885153382, 0.06429498329959055, 0.0655049030909591, 0.06660228094093412]"
