number,value,params_dropout,params_learning_rate,params_num_layer,params_optimizer,state,train_loss,valid_loss,spearman_train,spearman_val,pearson_train,pearson_val
19,0.26343955751508474,0.6986702589147209,2.6800993753610987e-05,0,Adam,COMPLETE,"[0.7557842252280215, 0.20575128844101653, 0.1393821247243624, 0.10467244042820639]","[0.30347218085080385, 0.26343955751508474, 0.3086708514019847, 0.2987594911828637]","[0.578784055625942, 0.8425663817256396, 0.9030856614985242, 0.9287501858735354]","[0.791241897698718, 0.8111049935716691, 0.8129652530091105, 0.8107746712931686]","[0.6050547751401698, 0.8970273835540212, 0.9317508566037833, 0.9493881855976147]","[0.8489115552516906, 0.8613850280021595, 0.8565565247240381, 0.8628076011251835]"
7,0.27020223066210747,0.2726186648160076,1.5686537657451677e-05,2,RMSprop,COMPLETE,"[0.7451104956993954, 0.25335166849892776, 0.14115817326275135, 0.08836179016251787]","[0.30270175263285637, 0.3153320848941803, 0.27020223066210747, 0.2738630846142769]","[0.5163018717917832, 0.8006260764922959, 0.8932176567545217, 0.9363975102939146]","[0.7940756005059648, 0.8084690685172222, 0.8073663572153039, 0.8054535768820902]","[0.5922128858725718, 0.872407259300192, 0.9308824019407693, 0.9571690210233315]","[0.8441115217934961, 0.8542600349499612, 0.8589831578580408, 0.8622846405741499]"
18,0.2707272721454501,0.6587694873168999,3.8715399658508556e-05,1,RMSprop,COMPLETE,"[0.9263497179360698, 0.28665021855196504, 0.15621682452104932, 0.1025834564762793]","[0.43608682323247194, 0.28587550576776266, 0.44500870257616043, 0.2707272721454501]","[0.47549786906811664, 0.7877146248110759, 0.8900366490382521, 0.9290749381881657]","[0.8059257204295708, 0.8008430738553776, 0.8041224370062988, 0.8051891408545538]","[0.5192123250454443, 0.856213756887702, 0.9239637284480027, 0.9506514398114347]","[0.83821605748947, 0.8572650888911054, 0.8593914155733933, 0.8586721193955952]"
15,0.27179756201803684,0.6942507858478799,3.387276502348421e-05,1,Adam,COMPLETE,"[0.838665932631321, 0.2899912417256575, 0.18314060054237036, 0.14394049952141671]","[0.37169171404093504, 0.36209618765860796, 0.27179756201803684, 0.6835825424641371]","[0.5031506703766093, 0.7830649072468449, 0.876131290941148, 0.9074210023633281]","[0.802857777397258, 0.8095760959403542, 0.8235860077616451, 0.8396285921023522]","[0.5641203710556377, 0.8555692411969436, 0.9109423007797525, 0.9314399520552604]","[0.8394577492261273, 0.8529611836211657, 0.8584595151107675, 0.8779039478028421]"
24,0.2741617476567626,0.5069358103036536,2.129934653024281e-05,0,RMSprop,COMPLETE,"[0.6227059060935494, 0.16849966103331648, 0.07631907965183901, 0.056858077055687524]","[0.2924213772639632, 0.4710215888917446, 0.43312948383390903, 0.2741617476567626]","[0.6163369595673832, 0.8733868587044142, 0.9461903843440214, 0.9626497300067939]","[0.8137682138482467, 0.8093874959282028, 0.8054009569836867, 0.8261866583753988]","[0.6721096814638029, 0.916431118261999, 0.9630714901808378, 0.9728164989396123]","[0.865786578166535, 0.8600302305099213, 0.8602089194176961, 0.8734250329391711]"
2,0.29197145346552134,0.16911314263951616,5.283156241889692e-05,0,Adam,COMPLETE,"[0.6362049077912201, 0.2054748978438995, 0.14397118800728442, 0.13556624442446147]","[0.33065772242844105, 0.32760763075202703, 0.29447569511830807, 0.29197145346552134]","[0.6209841368129339, 0.8498918893503744, 0.904513607586066, 0.912645237425311]","[0.7962298977576266, 0.800418699077379, 0.7989896951007941, 0.8147588341745394]","[0.6631674357067551, 0.8974678483056435, 0.9299113145466701, 0.9348074873321794]","[0.8471274986074964, 0.8582911866397588, 0.8518878289962207, 0.8650559334041839]"
6,0.3023320552892983,0.6133393493381336,9.829392463455546e-05,2,Adam,COMPLETE,"[0.8925199090576857, 0.3457339275226319, 0.2688700270524128, 0.2006882549725848]","[0.4735946720466018, 0.39476425759494305, 0.3548783250153065, 0.3023320552892983]","[0.4922157655916758, 0.7614369259366974, 0.8315912325459982, 0.8713295165197648]","[0.7689784830359442, 0.8042220336531357, 0.8054051645955064, 0.7970948342438006]","[0.5508493989846769, 0.8289202018234294, 0.8723123258953049, 0.9041527597536174]","[0.8227015793014943, 0.8430078433039514, 0.8390181189667845, 0.8481096006435669]"
12,0.33506081998348236,0.3371461373535336,2.5646717069031192e-05,2,RMSprop,COMPLETE,"[1.0106067376599894, 0.38362446309422416, 0.29113481542189346, 0.20000461507722628]","[0.7804073328152299, 0.7478588270023465, 0.35334087908267975, 0.33506081998348236]","[0.3701369198957452, 0.711445125672377, 0.7766343851241536, 0.8500917128759807]","[0.7533099306353463, 0.7848912254260283, 0.7977475090890018, 0.7870138913370696]","[0.4167671451487988, 0.8021180937403791, 0.8534049151402442, 0.9011434855186936]","[0.8015196528713047, 0.7849653315137202, 0.8429491816452268, 0.8433554411619968]"
29,0.36843062564730644,0.5747084414730621,1.0382224269405786e-05,2,Adam,COMPLETE,"[1.6561515500648416, 0.41611052224104356, 0.19707949145985165, 0.11791264995423367]","[0.4443461261689663, 0.37917840853333473, 0.36843062564730644, 0.45461539924144745]","[0.3108125227730937, 0.6877645426689014, 0.8520478606106577, 0.9166399389754092]","[0.7296891403995528, 0.7845439241963028, 0.7897781437986344, 0.7987493662139187]","[0.28655735347430894, 0.7856690469114407, 0.9022314791287969, 0.9426619558145471]","[0.7952060907663843, 0.8317806626838865, 0.8354821322597182, 0.8431669352355023]"
16,0.5516315195709467,0.4222450160875539,3.1795687759866144e-05,0,RMSprop,COMPLETE,"[1.592783280842596, 0.6026106433902713, 0.32506579321494206, 0.2088111944550233]","[1.277701910585165, 0.6314021740108728, 0.5516315195709467, 1.038060486316681]","[-0.006494038347929673, 0.5081739982093143, 0.7391191691936245, 0.8356067803424679]","[0.28063884763531083, 0.7357002831490541, 0.7650941148066724, 0.7439774971206736]","[0.0018793036015378826, 0.6565832634205001, 0.8327285784437701, 0.895701813421922]","[0.3209879408769864, 0.78298156240564, 0.826914557250329, 0.8068510484978296]"
27,0.577032184228301,0.5609786353130345,3.804762188633893e-05,0,RMSprop,COMPLETE,"[1.2632082237614144, 0.3656069117484333, 0.22529499039804335, 0.14509052831491978]","[0.6586995515972376, 0.577032184228301, 1.057306606322527, 0.9230814762413502]","[0.31340697089409725, 0.7357135258231831, 0.830276939605939, 0.8908134559916658]","[0.7448113467806976, 0.7799609934023377, 0.7864152719284219, 0.8033207632013664]","[0.3123415690307086, 0.8094053377881396, 0.8869503112677842, 0.9286929758594661]","[0.7931032561527477, 0.837629169827965, 0.8469810152416146, 0.8545084603530211]"
9,0.7462445348501205,0.50125460216501,7.48283462649099e-05,3,RMSprop,COMPLETE,"[1.6736301934118751, 0.8840398025169647, 0.5297967613600999, 0.41369169778961074]","[1.6187954396009445, 1.393680702894926, 0.7462445348501205, 1.0039198473095894]","[-0.009488810925243438, 0.3953253301805548, 0.6438642300760835, 0.7183986930568121]","[0.10135821921448657, 0.45988887142931834, 0.6170406107868155, 0.6027880635261629]","[-0.004563930423941795, 0.41508922664077363, 0.7096517604515401, 0.7829801291804356]","[0.08869095144096122, 0.5949673682379789, 0.6623080444153048, 0.6295758643288151]"
1,2.0610326528549194,0.5557778558614818,6.541545405191741e-05,2,RMSprop,COMPLETE,"[1.7015884990314785, 0.9914444183274139, 0.8059283607512069, 0.6297552924362018]","[2.359840504825115, 2.1013715639710426, 2.0610326528549194, 2.1115293949842453]","[-0.010582833260052707, 0.26672671489561706, 0.45942158381705234, 0.601439378182986]","[-0.08771618435896886, -0.08063494460105822, -0.07008587904474296, 0.06899058867781534]","[-0.0027657924100454594, 0.2831680248823991, 0.4853732275348004, 0.6340705022589348]","[-0.09476080845734387, -0.08292111277979844, -0.10402406012920423, 0.10084198453736475]"
8,2.4711305424571037,0.14819201480760208,5.2822755855906826e-05,1,RMSprop,COMPLETE,"[1.522255300617904, 1.1073641586217948, 1.074452938364564, 1.0437683021421913]","[4.259223565459251, 2.6110773980617523, 2.4711305424571037, 2.7370842918753624]","[-0.026515120426640146, 0.047849891675009075, 0.07569176951921938, 0.13670417578028043]","[0.013973677895232567, 0.36551057113900404, -0.22476289585376347, 0.4845324645584182]","[-0.021648063621781607, 0.04357975422168908, 0.07426495700542048, 0.1385820417981645]","[0.034753391829589406, 0.35312727867415167, -0.23446808053584067, 0.4966934695760466]"
20,2.5504298955202103,0.5163871584114708,4.213230864203951e-05,1,RMSprop,COMPLETE,"[1.4094833525822317, 1.058721384984984, 1.0087967714388593, 0.964756830561933]","[2.5504298955202103, 2.6177694275975227, 2.99770937114954, 3.6402069106698036]","[-0.013820350696576443, 0.12764847091233195, 0.2124119099013185, 0.28008538017437884]","[-0.005110888871582937, -0.003316657986672905, -0.03979171872780543, -0.04241489837135526]","[-0.00631174482671804, 0.1297410236866492, 0.2192668904344605, 0.29155402300017985]","[0.015057669964545226, 0.007754542545326462, -0.008851266867422304, -0.06737430717974097]"
4,8.141631826758385,0.4159618294949111,5.744101089139272e-05,0,SGD,COMPLETE,"[11.934194654011899, 10.682593705842821, 9.50380454989646, 8.397513739496684]","[11.485360994935036, 10.303016364574432, 9.188469059765339, 8.141631826758385]","[0.02135110583249468, 0.04158555068857775, 0.061837098954480335, 0.08176903498714831]","[0.048247991717532385, 0.06771923517678512, 0.08752832511449816, 0.10556576296956009]","[0.007143451888364786, 0.03000225968215143, 0.05280326647476114, 0.07505706933628377]","[0.05120260602204411, 0.07017376775343945, 0.08884187450296385, 0.10657979307500341]"
3,9.313605554401875,0.11287229753539177,6.482369600669618e-05,1,SGD,COMPLETE,"[12.877347520787081, 11.72991703911651, 10.640132488964273, 9.60647858818658]","[12.395588219165802, 11.315859869122505, 10.28893792629242, 9.313605554401875]","[0.015550859140888147, 0.0341887881146395, 0.05162431036294828, 0.06731011452068522]","[0.08100192317169368, 0.09765381920520194, 0.10984242912436994, 0.1197585326504016]","[0.033366712496094096, 0.05479018959225675, 0.07464502085308843, 0.09273882053297017]","[0.09930853817092981, 0.11676221834630997, 0.13038045981402815, 0.1409719786668276]"
28,10.646187976002693,0.4679257308649918,4.373140271727492e-05,1,SGD,COMPLETE,"[13.120681639197919, 12.348863093973064, 11.603178730971521, 10.882679212007591]","[12.772988736629486, 12.040371969342232, 11.331851780414581, 10.646187976002693]","[0.016355709289023232, 0.022825111747801975, 0.02905543340835922, 0.035160469870395596]","[0.07353727329442232, 0.08694886271495879, 0.09737581981721176, 0.10579272650124366]","[0.02735494298165289, 0.034596011689637204, 0.04169808725066288, 0.048636751664317565]","[0.09249906378618683, 0.10539531152183267, 0.11651467973162231, 0.1259385922275335]"
5,11.455929338932037,0.009945191436503896,5.0192403570205455e-05,3,SGD,COMPLETE,"[12.68099896684825, 12.265485489111153, 11.855332004080573, 11.450089715367598]","[12.63810895383358, 12.239373728632927, 11.845465540885925, 11.455929338932037]","[0.08941181739263326, 0.10902276488923032, 0.125532354825861, 0.1390683935274416]","[0.09287872430436768, 0.10445520095574957, 0.11311471358717107, 0.12092963477309958]","[0.10358082101860609, 0.1255635950783314, 0.14407209611729488, 0.159371481041448]","[0.11644909502850322, 0.12870655490993627, 0.13760928612139464, 0.14404534410076208]"
0,13.891058430075645,0.5914538950288839,1.0476922184865742e-05,3,SGD,COMPLETE,"[14.1895328219846, 14.118142553370634, 14.046971595544608, 13.976050184785032]","[14.095711559057236, 14.02729418873787, 13.959106028079987, 13.891058430075645]","[-0.006864851736856347, -0.006485926405342258, -0.00606617235714747, -0.005678344606260437]","[0.12314288809155206, 0.12681722223904984, 0.13067386973162737, 0.13464347922623363]","[0.004853656348446036, 0.005356392239271576, 0.005859975934891969, 0.006363349145488223]","[0.1383224459652716, 0.142850107472414, 0.14728151736569098, 0.15161422937181465]"
